noun,modifier,Verb,sentence2,label,sentence1,idx
advertisement,creative,,A creative advertisement is irritating.,1,An advertisement is irritating.,6211.0
bookcase,typical,,A typical bookcase is for taking material to college.,2,A bookcase is for taking material to college.,8444.0
earring,golden,,You use a golden earring to rebel against your parents.,2,You use an earring to rebel against your parents.,12662.0
farmland,available,,Available farmland is used to grow crops.,3,Farmland is used to grow crops.,6588.0
ice,regular,,Regular ice is for reducing swelling.,2,Ice is for reducing swelling.,2186.0
virus,alleged,,The effect of an alleged virus is infection.,1,The effect of a virus is infection.,3898.0
college,small,,A small college is for meeting people.,2,A college is for meeting people.,98.0
garbage,compressed,,Compressed garbage is for polluting the landscape.,2,Garbage is for polluting the landscape.,11773.0
magician,genuine,,A genuine magician performs magic.,2,A magician performs magic.,14931.0
tower,natural,,You use a natural tower to admire the landscape.,2,You use a tower to admire the landscape.,14941.0
handle,remote,,You use a remote handle to open a door.,1,You use a handle to open a door.,519.0
textile,tubular,,You use a tubular textile to make clothes.,2,You use a textile to make clothes.,5904.0
policeman,amiable,,An amiable policeman fines an offender of the law.,2,A policeman fines an offender of the law.,13114.0
punching,modern,,Modern punching someone is for causing pain.,2,Punching someone is for causing pain.,7771.0
coast,relevant,,A relevant coast is for access to land from water.,2,A coast is for access to land from water.,10188.0
couple,upstanding,,An upstanding couple ties the knot.,2,A couple ties the knot.,2106.0
passenger,artificial,,An artificial passenger boards a plane.,0,A passenger boards a plane.,9222.0
tongue,artificial,,The artificial tongue is covered with taste buds.,0,The tongue is covered with taste buds.,14669.0
towel,modern,,You use a modern towel to absord any kind of liquid.,2,You use a towel to absord any kind of liquid.,8970.0
monument,historic,,You use a historic monument to mark a grave.,2,You use a monument to mark a grave.,14573.0
learning,required,,Required learning is done at school.,3,Learning is done at school.,3038.0
town,historic,,A historic town is used for living.,2,A town is used for living.,925.0
textile,anionic,,An anionic textile is used for clothing and upholstery.,2,A textile is used for clothing and upholstery.,7887.0
skiing,nice,,Nice skiing is for competition.,2,Skiing is for competition.,3702.0
trash,separate,,Separate trash is stored.,3,Trash is stored.,13832.0
grenade,antitank,,You use an antitank grenade to blow up the enemy.,2,You use a grenade to blow up the enemy.,6911.0
handbag,fake,,You use a fake handbag to carry money.,2,You use a handbag to carry money.,4632.0
motorcycle,amusing,,Amusing motorcycle is used for ride.,2,Motorcycle is used for ride.,1791.0
killing,alleged,,Alleged killing is for self defense.,2,Killing is for self defense.,11716.0
mathematician,good,,A good mathematician studies the bible.,2,A mathematician studies the bible.,384.0
action,dead,,Dead action is performed.,1,Action is performed.,772.0
plow,bottom,,A bottom plow farms the land.,1,A plow farms the land.,14353.0
archway,huge,,You use a huge archway to make an entrance.,2,You use an archway to make an entrance.,11684.0
machinery,electronic,,Electronic machinery is used for help.,2,Machinery is used for help.,14243.0
refrigerator,wide,,A wide refrigerator is used for cooling drinks.,2,A refrigerator is used for cooling drinks.,7225.0
bridge,crowded,,A crowded bridge is used for crossing sometihng.,2,A bridge is used for crossing sometihng.,7255.0
phone,small,,A small phone is used for calling.,2,A phone is used for calling.,10725.0
switch,dead,,A dead switch turns on a light.,0,A switch turns on a light.,2264.0
fur,artificial,,You use artificial fur to justify killing fur bearing animals.,1,You use fur to justify killing fur bearing animals.,5075.0
diesel,swift,,Swift diesel is one of many products of petroleum.,2,Diesel is one of many products of petroleum.,9515.0
salesman,good,,A good salesman sells products.,3,A salesman sells products.,649.0
clock,virtual,,A virtual clock continues ticking.,2,A clock continues ticking.,5504.0
ear,cetacean,,A cetacean ear is for adornment.,2,An ear is for adornment.,15248.0
clown,new,,A new clown surprises you.,2,A clown surprises you.,13048.0
church,false,,You use a false church to get married in.,1,You use a church to get married in.,13431.0
marker,select,,You use a select marker to write information down.,2,You use a marker to write information down.,14470.0
coffin,late,,Late coffin is used for coffin.,2,Coffin is used for coffin.,11915.0
bread,low,,Low bread is for nutrition.,0,Bread is for nutrition.,10406.0
accuracy,adjusted,,Adjusted accuracy is very important to researchers.,2,Accuracy is very important to researchers.,4783.0
tractor,modern,,A modern tractor is used for planting a field.,2,A tractor is used for planting a field.,12643.0
geography,historical,,Historical geography is boring.,2,Geography is boring.,9962.0
acrylic,resistant,,You use a resistant acrylic to paint a picture.,2,You use an acrylic to paint a picture.,3385.0
table,fake,,A fake table is wooden furniture.,0,A table is wooden furniture.,12706.0
rug,fake,,A fake rug is used for for covering the floor.,2,A rug is used for for covering the floor.,7081.0
bear,lucky,,A lucky bear winters over in his den.,2,A bear winters over in his den.,1349.0
pad,possible,,A possible pad is for ink.,1,A pad is for ink.,6087.0
company,aggressive,,An aggressive company bottles a liquid.,2,A company bottles a liquid.,11906.0
insemination,traumatic,,Traumatic insemination happens by accident.,3,Insemination happens by accident.,10611.0
coffin,former,,Former coffin causes death.,1,Coffin causes death.,7362.0
university,virtual,,A virtual university is for education & the gain of knowledge.,2,A university is for education & the gain of knowledge.,5441.0
faucet,ideal,,An ideal faucet is found in the kitchen.,2,A faucet is found in the kitchen.,431.0
doorway,common,,A common doorway is for hanging a door.,2,A doorway is for hanging a door.,3567.0
physician,wealthy,,Wealthy physician sets set a bone.,2,Physician sets set a bone.,13722.0
junkie,full,,A full junkie trips on acid.,2,A junkie trips on acid.,10801.0
actress,conservative,,A conservative actress stars in a film.,2,An actress stars in a film.,12555.0
mayor,former,,You use a former mayor to lead a city council.,2,You use a mayor to lead a city council.,12293.0
passageway,outside,,You use an outside passageway to walk along.,2,You use a passageway to walk along.,12686.0
armchair,modern,,Modern armchair is used for the benefit of sitter.,2,Armchair is used for the benefit of sitter.,13046.0
human,young,,A young human drinks a cup of coffee.,2,A human drinks a cup of coffee.,10857.0
fabric,historic,,Historic fabric wears out.,2,Fabric wears out.,3525.0
escalator,second,,A second escalator is used for moving stairs.,2,An escalator is used for moving stairs.,132.0
cord,portable,,You use portable cord to play with a cat.,0,You use cord to play with a cat.,10607.0
builder,virtual,,A virtual builder shoulders a hod.,0,A builder shoulders a hod.,12508.0
horse,sensitive,,A sensitive horse is used for companionship.,2,A horse is used for companionship.,15548.0
quarterback,fictional,,A fictional quarterback throws a spiral pass.,1,A quarterback throws a spiral pass.,6114.0
fork,impossible,,An impossible fork is used for eating food.,0,A fork is used for eating food.,10184.0
crane,rotary,,A rotary crane lowers freight.,2,A crane lowers freight.,144.0
roof,second,,A second roof is used for creating an attic.,2,A roof is used for creating an attic.,9482.0
glass,red,,A red glass is clean.,2,A glass is clean.,5025.0
fun,virtual,,Virtual fun is cool.,2,Fun is cool.,4088.0
talking,neurotic,,Neurotic talking is for to share knowledge.,1,Talking is for to share knowledge.,1480.0
baker,dusty,,A dusty baker makes a cake.,2,A baker makes a cake.,11059.0
head,mechanical,,You use a mechanical head to give meaning to a tail.,2,You use a head to give meaning to a tail.,13698.0
ball,hollow,,A hollow ball is for playing basketball.,2,A ball is for playing basketball.,7392.0
science,correct,,A correct science is for discovery.,2,A science is for discovery.,10069.0
courtyard,internal,,You use an internal courtyard to garden.,2,You use a courtyard to garden.,6256.0
business,current,,A current business prices above or below competition.,2,A business prices above or below competition.,5365.0
heart,virtual,,A virtual heart dilates as the walls thin.,1,A heart dilates as the walls thin.,4797.0
file,valid,,A valid file is for the storage of pieces of paper.,2,A file is for the storage of pieces of paper.,14933.0
juice,artificial,,Artificial juice costs money.,2,Juice costs money.,13559.0
merchant,third,,A third merchant offers a deal.,2,A merchant offers a deal.,5199.0
bean,peeled,,A peeled bean is for making certain types of soup.,2,A bean is for making certain types of soup.,8574.0
sun,fake,,The fake sun is for providing photovolcaic energy.,1,The sun is for providing photovolcaic energy.,14632.0
jar,easy,,An easy jar has a lid.,2,A jar has a lid.,6837.0
cardboard,wet,,You use wet cardboard to make containers.,1,You use cardboard to make containers.,127.0
lover,jilted,,Jilted lover rains compliments.,0,Lover rains compliments.,4008.0
emperor,benevolent,,A benevolent emperor builds a dynasty.,3,An emperor builds a dynasty.,1576.0
orange,rich,,Rich orange means a fruit or a color.,2,Orange means a fruit or a color.,11016.0
policeman,giant,,A giant policeman tails a crook.,2,A policeman tails a crook.,3184.0
audience,imaginary,,You use an imaginary audience to watch a play.,0,You use an audience to watch a play.,4149.0
trash,much,,Much trash is bad.,3,Trash is bad.,9694.0
soda,fresh,,Fresh soda is sticky.,2,Soda is sticky.,8871.0
organ,gastrointestinal,,A gastrointestinal organ is for playing church music.,0,An organ is for playing church music.,4108.0
curtain,segmented,,A segmented curtain is used for blocking light.,2,A curtain is used for blocking light.,15940.0
sheet,future,,You use a future sheet to make a bed.,2,You use a sheet to make a bed.,3538.0
miser,archetypal,,An archetypal miser saves a cent.,2,A miser saves a cent.,645.0
depression,critical,,Critical depression may bring on obsessive compulsive symptoms.,3,Depression may bring on obsessive compulsive symptoms.,13111.0
body,postural,,A postural body is for revealing a murder.,2,A body is for revealing a murder.,5974.0
camping,dual,,Dual camping is something that is done at campgrounds.,2,Camping is something that is done at campgrounds.,179.0
mike,off,,Off mike lays a hot chick.,0,Mike lays a hot chick.,3478.0
rope,natural,,A natural rope lowers a person.,2,A rope lowers a person.,12737.0
hiking,easy,,The effect of easy hiking is fatigue.,1,The effect of hiking is fatigue.,7562.0
meeting,potential,,A potential meeting is ending late.,2,A meeting is ending late.,9123.0
arrow,blunt,,A blunt arrow hits a target.,1,An arrow hits a target.,2338.0
hammer,striking,,You use a striking hammer to knock things apart.,4,You use a hammer to knock things apart.,15064.0
projectile,short,,A short projectile is fired from a gun.,1,A projectile is fired from a gun.,13605.0
earth,physical,,The physical earth is for animals to exist upon.,2,The earth is for animals to exist upon.,13006.0
poison,desperate,,Desperate poison kills humans.,2,Poison kills humans.,11098.0
monument,favorite,,A favorite monument is for celebrating a persons life.,2,A monument is for celebrating a persons life.,15703.0
guitar,fake,,A fake guitar is one kind of stringed instrument.,2,A guitar is one kind of stringed instrument.,6924.0
cheer,blue,,The effect of blue cheer is happiness.,2,The effect of cheer is happiness.,2202.0
stopper,tubular,,The tubular stopper wedges open the door.,2,The stopper wedges open the door.,3270.0
salesperson,retail,,A retail salesperson uses a phone.,2,A salesperson uses a phone.,15418.0
scientist,future,,A future scientist discovers new phenomena.,2,A scientist discovers new phenomena.,9639.0
canvas,virtual,,You use a virtual canvas to paint in oit.,0,You use a canvas to paint in oit.,8100.0
painter,abstract,,Abstract painter is finishing wooden deck.,1,Painter is finishing wooden deck.,10037.0
taxiway,appropriate,,An appropriate taxiway is used for planes.,2,A taxiway is used for planes.,15655.0
neighbor,select,,A select neighbor is for making fun of.,2,A neighbor is for making fun of.,6544.0
moon,artificial,,The artificial moon sometimes eclipses the sun.,0,The moon sometimes eclipses the sun.,13328.0
homemaker,retired,,A retired homemaker cooks a terrific meal.,2,A homemaker cooks a terrific meal.,6238.0
warrior,compassionate,,A compassionate warrior fights a battle.,2,A warrior fights a battle.,3793.0
mayor,unofficial,,An unofficial mayor is for signing ordinances.,1,A mayor is for signing ordinances.,8667.0
balloon,rigid,,A rigid balloon delights a child.,2,A balloon delights a child.,11545.0
glass,fabricated,,Fabricated glass is melted.,2,Glass is melted.,15119.0
bob,cylindrical,,Cylindrical bob misses the bus.,0,Bob misses the bus.,1516.0
solicitor,old,,An old solicitor is for family law.,2,A solicitor is for family law.,9326.0
housewife,hot,,A hot housewife gardens her vegetables.,2,A housewife gardens her vegetables.,480.0
steam,second,,Second steam is used to clean carpet.,2,Steam is used to clean carpet.,16059.0
building,historic,,A historic building has no cells.,2,A building has no cells.,4738.0
sailor,primordial,,A primordial sailor mans a life raft.,2,A sailor mans a life raft.,8139.0
rudder,large,,A large rudder is used to steer a ship.,2,A rudder is used to steer a ship.,6481.0
alcohol,fake,,Fake alcohol is intoxicating.,0,Alcohol is intoxicating.,8336.0
calling,international,,Something that might happen as a consequence of international calling is a busy signal.,2,Something that might happen as a consequence of calling is a busy signal.,10793.0
currency,orderly,,Orderly currency is one form of money.,2,Currency is one form of money.,11301.0
group,radical,,Radical group includes individuals.,2,Group includes individuals.,848.0
politician,young,,A young politician speaks from a platform.,2,A politician speaks from a platform.,1488.0
fan,prospective,,A prospective fan is more useful with a handle.,1,A fan is more useful with a handle.,14332.0
navigator,common,,A common navigator guides an airplane.,2,A navigator guides an airplane.,8781.0
muscle,various,,You use a various muscle to exert a force against some object.,0,You use a muscle to exert a force against some object.,12461.0
operator,past,,A past operator directs a call.,1,An operator directs a call.,9746.0
earthquake,potential,,"The effect of a potential earthquake is ruined streets, pipelines, and houses.",2,"The effect of an earthquake is ruined streets, pipelines, and houses.",3791.0
wrestling,junior,,Junior wrestling is for getting control.,2,Wrestling is for getting control.,5750.0
home,third,,A third home has bedrooms.,2,A home has bedrooms.,1236.0
lawn,beautiful,,You use a beautiful lawn to grow weeds.,1,You use a lawn to grow weeds.,13065.0
torpedo,micro,,A micro torpedo shoots a torpedo.,2,A torpedo shoots a torpedo.,3093.0
hunter,great,,A great hunter calls ducks.,3,A hunter calls ducks.,13307.0
barbecue,included,,An included barbecue is used to grill food.,2,A barbecue is used to grill food.,9770.0
provocation,north,,Sometimes north provocation causes you to become angry.,0,Sometimes provocation causes you to become angry.,2101.0
sailor,unknown,,An unknown sailor rows a boat.,2,A sailor rows a boat.,7931.0
diary,sacred,,A sacred diary contains appointments.,1,A diary contains appointments.,8870.0
time,automatic,,Automatic time is absolute.,2,Time is absolute.,3826.0
ball,close,,A close ball is for playing games.,1,A ball is for playing games.,11110.0
alarm,current,,Current alarm is used for alert.,2,Alarm is used for alert.,9166.0
information,future,,Future information is found in an encyclopedia.,0,Information is found in an encyclopedia.,13483.0
apartment,virtual,,A virtual apartment is used for 1 family to live in.,0,An apartment is used for 1 family to live in.,12421.0
story,fictitious,,A fictitious story is for expressing the author's creativity.,2,A story is for expressing the author's creativity.,1603.0
sauce,hot,,Hot sauce is put in a cup.,2,Sauce is put in a cup.,8401.0
eraser,magic,,A magic eraser is for obscuring evidence.,2,An eraser is for obscuring evidence.,12796.0
paint,conventional,,Some conventional paint is applied into wet plaster.,2,Some paint is applied into wet plaster.,3000.0
envelope,inflatable,,An inflatable envelope is used to send a written message to someone.,1,An envelope is used to send a written message to someone.,8269.0
falling,constant,,Constant falling is for obeying the law of gravity.,2,Falling is for obeying the law of gravity.,8971.0
neighbor,new,,A new neighbor is someone you can borrow eggs from.,2,A neighbor is someone you can borrow eggs from.,6366.0
flywheel,rearward,,A rearward flywheel is used to oppose fluctuations in speed.,2,A flywheel is used to oppose fluctuations in speed.,7761.0
cannon,loose,,You use a loose cannon to shoot a cannon ball.,1,You use a cannon to shoot a cannon ball.,12371.0
trip,hallucinatory,,Hallucinatory trip causes stumble.,3,Trip causes stumble.,2951.0
punching,small,,Small punching someone is for defending yourself.,1,Punching someone is for defending yourself.,6347.0
pepper,little,,Sometimes little pepper causes sneezing.,2,Sometimes pepper causes sneezing.,13097.0
scientist,indifferent,,An indifferent scientist questions that theory with new observations.,2,A scientist questions that theory with new observations.,8570.0
drive,fake,,A fake drive is used for going somewhere.,2,A drive is used for going somewhere.,11603.0
clarinet,rare,,You use a rare clarinet to join a band.,1,You use a clarinet to join a band.,5558.0
loft,exquisite,,You use an exquisite loft to sleep in.,2,You use a loft to sleep in.,13785.0
clothing,virtual,,Virtual clothing has stitches in it.,0,Clothing has stitches in it.,10043.0
violence,direct,,You use direct violence to kill someone.,3,You use violence to kill someone.,6956.0
industry,uncertain,,An uncertain industry is for creating jobs.,1,An industry is for creating jobs.,4043.0
landfill,licensed,,A licensed landfill contains trash.,2,A landfill contains trash.,458.0
iron,former,,A former iron presses your pants.,1,An iron presses your pants.,14560.0
sand,perfect,,Perfect sand is for ocean beaches.,2,Sand is for ocean beaches.,12514.0
runway,second,,A second runway is for the touch-down of planes.,2,A runway is for the touch-down of planes.,1184.0
doorway,opposite,,You use an opposite doorway to enter or exit a building.,2,You use a doorway to enter or exit a building.,14191.0
sofa,unique,,You use an unique sofa to relax.,2,You use a sofa to relax.,14678.0
status,expected,,Expected status is important to people.,2,Status is important to people.,6213.0
string,inextensible,,An inextensible string is for to keep someone going.,2,A string is for to keep someone going.,11728.0
hairbrush,plastic,,You use a plastic hairbrush to untangle snarls.,2,You use a hairbrush to untangle snarls.,13491.0
lobbyist,regulated,,A regulated lobbyist pushes to get a bill passed.,2,A lobbyist pushes to get a bill passed.,16054.0
mayor,seated,,You use a seated mayor to represent a town.,3,You use a mayor to represent a town.,1460.0
adult,red,,A red adult drives a car.,2,An adult drives a car.,11190.0
acid,unsaturated,,Unsaturated acid charges the mind.,2,Acid charges the mind.,13727.0
pilot,supervised,,A supervised pilot works in an airplane.,2,A pilot works in an airplane.,5949.0
ranch,legendary,,A legendary ranch has many animals on it.,3,A ranch has many animals on it.,4507.0
violin,new,,You use a new violin to mkae annoying noises.,2,You use a violin to mkae annoying noises.,3875.0
family,fake,,A fake family shares a meal.,1,A family shares a meal.,9027.0
socialist,left,,A left socialist empowers the community.,2,A socialist empowers the community.,10703.0
tornado,possible,,A possible tornado blows down a house.,2,A tornado blows down a house.,14258.0
porcelain,unglazed,,Unglazed porcelain is nonporous.,2,Porcelain is nonporous.,2594.0
prison,central,,A central prison is for rehabilitation of inmates.,2,A prison is for rehabilitation of inmates.,15460.0
library,virtual,,A virtual library is for lendings books.,2,A library is for lendings books.,8566.0
row,different,,A different row means an argument.,2,A row means an argument.,4453.0
weather,potential,,The potential weather is cloudy.,2,The weather is cloudy.,5880.0
story,false,,A false story continues in another book.,2,A story continues in another book.,9105.0
pond,smelly,,You use a smelly pond to keep fish.,2,You use a pond to keep fish.,7928.0
visitor,manual,,A manual visitor rings a doorbell.,0,A visitor rings a doorbell.,468.0
space,blank,,Blank space is cold.,2,Space is cold.,10712.0
soldier,indigenous,,An indigenous soldier wears a uniform.,2,A soldier wears a uniform.,387.0
swimming,backward,,Backward swimming is for moving through water.,2,Swimming is for moving through water.,4462.0
metal,traditional,,A traditional metal is used for making weapons.,2,A metal is used for making weapons.,1116.0
window,likely,,A likely window is found in a drive thru window.,2,A window is found in a drive thru window.,2046.0
millionaire,ailing,,An ailing millionaire desires to be a billionaire.,1,A millionaire desires to be a billionaire.,15804.0
banks,human,,Human banks have waiting lines.,2,Banks have waiting lines.,14076.0
bidet,automatic,,An automatic bidet is used for washing.,2,A bidet is used for washing.,6898.0
coach,former,,A former coach times the runner's performance.,2,A coach times the runner's performance.,8632.0
ignorance,basic,,Basic ignorance is harmful to society.,2,Ignorance is harmful to society.,8188.0
bells,popular,,Popular bells is rang.,2,Bells is rang.,14916.0
monkey,dead,,A dead monkey turns on a light switch.,0,A monkey turns on a light switch.,3416.0
lake,artificial,,An artificial lake is for diving.,2,A lake is for diving.,13944.0
dish,local,,Local dish is used for serve.,2,Dish is used for serve.,3871.0
page,former,,A former page is for indexing the contents of a book.,0,A page is for indexing the contents of a book.,13538.0
vendor,personal,,A personal vendor prices a retail item.,2,A vendor prices a retail item.,3436.0
barbecue,annual,,You use an annual barbecue to feed your family.,2,You use a barbecue to feed your family.,1728.0
crack,free,,Free crack gets you high.,2,Crack gets you high.,6352.0
courthouse,historic,,You use a historic courthouse to settle civil litigation.,2,You use a courthouse to settle civil litigation.,12507.0
missile,surface-to-air,,Surface-to-air missile carries warhead.,2,Missile carries warhead.,15620.0
beautician,former,,A former beautician waves your hair.,2,A beautician waves your hair.,6431.0
operator,rare,,A rare operator tells a phone number.,1,An operator tells a phone number.,10672.0
projectile,bladed,,You use a bladed projectile to shoot from a cannon.,1,You use a projectile to shoot from a cannon.,8650.0
condom,durable,,A durable condom is for preventing pregnancy.,3,A condom is for preventing pregnancy.,7673.0
guard,worthy,,A worthy guard mans his post.,2,A guard mans his post.,6773.0
kangaroo,likely,,A likely kangaroo jumps.,2,A kangaroo jumps.,7070.0
rabbit,fat,,A fat rabbit wants lettuce.,3,A rabbit wants lettuce.,6129.0
body,artificial,,You use an artificial body to absorb lotion.,0,You use a body to absorb lotion.,12028.0
cautery,miniature,,A miniature cautery may use an electrical current.,2,A cautery may use an electrical current.,6979.0
drawer,lateral,,A lateral drawer is for storing things in.,2,A drawer is for storing things in.,11672.0
country,former,,A former country has borders.,2,A country has borders.,2216.0
union,poor,,You use a poor union to avoid being taken advantage of.,1,You use a union to avoid being taken advantage of.,5864.0
frog,dusky,,A dusky frog leaps.,2,A frog leaps.,5312.0
gate,potential,,A potential gate is used for walking into a fenced in yard.,2,A gate is used for walking into a fenced in yard.,6513.0
research,pharmaceutical,,Pharmaceutical research solves many of the worlds problems.,2,Research solves many of the worlds problems.,10192.0
runway,former,,A former runway is used by airplanes.,2,A runway is used by airplanes.,12349.0
quarterback,old,,Old quarterback throws a football.,2,Quarterback throws a football.,14959.0
hook,unique,,You use an unique hook to catch fish.,2,You use a hook to catch fish.,11020.0
shopping,overall,,Overall shopping is for looking for something new.,3,Shopping is for looking for something new.,1425.0
bed,former,,A former bed is for getting better in.,0,A bed is for getting better in.,7936.0
shopper,tactical,,A tactical shopper eyes a new pair of shoes.,2,A shopper eyes a new pair of shoes.,6583.0
stores,compact,,Some compact stores have both groceries and gardening supplies.,2,Some stores have both groceries and gardening supplies.,14992.0
alien,resident,,A resident alien looks scary.,1,An alien looks scary.,7484.0
bullets,former,,Former bullets are used in wars.,0,Bullets are used in wars.,8479.0
art,accessible,,Accessible art is subjective.,2,Art is subjective.,11687.0
locomotive,live,,Live locomotive is used for motion.,0,Locomotive is used for motion.,11762.0
restaurant,ultimate,,An ultimate restaurant seats customers.,2,A restaurant seats customers.,1183.0
bananas,fake,,Fake bananas are nutritious.,1,Bananas are nutritious.,13236.0
tin,perfect,,A perfect tin is for holding sardines.,2,A tin is for holding sardines.,8810.0
musician,special,,A special musician perfects his song.,3,A musician perfects his song.,4912.0
accordion,chromatic,,A chromatic accordion is for annoying your neighbors.,2,An accordion is for annoying your neighbors.,9712.0
dam,second,,A second dam is used to generate hydro-electric power.,2,A dam is used to generate hydro-electric power.,11991.0
intersection,false,,You use a false intersection to meet.,0,You use an intersection to meet.,800.0
capital,collective,,A collective capital is used for business.,2,A capital is used for business.,9918.0
blanket,complete,,A complete blanket is used for staying warm.,2,A blanket is used for staying warm.,2328.0
talking,eighth,,Eighth talking is for communicating with family.,0,Talking is for communicating with family.,9212.0
stairwell,historic,,You use a historic stairwell to add exercise to the day.,2,You use a stairwell to add exercise to the day.,3802.0
mast,retractable,,You use a retractable mast to sail.,2,You use a mast to sail.,8044.0
jury,mock,,A mock jury states a verdict.,2,A jury states a verdict.,11708.0
puppy,high,,A high puppy wants attention.,2,A puppy wants attention.,5249.0
nose,rich,,You use a rich nose to smell aromas.,2,You use a nose to smell aromas.,4513.0
yogurt,strained,,Strained yogurt is purchased at a grocery store.,2,Yogurt is purchased at a grocery store.,4852.0
mom,nice,,My nice mom sleeps through a storm.,2,My mom sleeps through a storm.,14893.0
tailor,fictional,,A fictional tailor makes a dress.,0,A tailor makes a dress.,408.0
reading,independent,,Sometimes independent reading causes eye strain.,2,Sometimes reading causes eye strain.,8684.0
armchair,outdoor,,An outdoor armchair is used for resting in.,2,An armchair is used for resting in.,1442.0
cricket,dead,,Dead cricket is played in many british colonies.,0,Cricket is played in many british colonies.,10975.0
otoscope,improved,,An improved otoscope is used for inspection of the inner ear.,2,An otoscope is used for inspection of the inner ear.,14542.0
soda,transparent,,Transparent soda is good to drink.,2,Soda is good to drink.,5525.0
ring,compressed,,A compressed ring is worn on a finger.,2,A ring is worn on a finger.,11683.0
granite,crushed,,Crushed granite is difficult to stain.,2,Granite is difficult to stain.,13350.0
roof,single,,You use a single roof to keep out the rain.,2,You use a roof to keep out the rain.,15267.0
dresser,abrasive,,An abrasive dresser is found in a house.,0,A dresser is found in a house.,13528.0
salad,full,,Full salad is eaten with rice.,2,Salad is eaten with rice.,7314.0
comforter,full,,A full comforter is used for watching tv.,2,A comforter is used for watching tv.,504.0
slavery,mental,,Mental slavery is considered by some to immoral.,2,Slavery is considered by some to immoral.,1182.0
coal,crushed,,Crushed coal burns for hours.,2,Coal burns for hours.,14969.0
road,temporary,,"A temporary road is flat, long, and narrow.",2,"A road is flat, long, and narrow.",2520.0
brain,artificial,,Your artificial brain is used for thinking.,2,Your brain is used for thinking.,7292.0
tree,lovely,,A lovely tree branches in several directions.,2,A tree branches in several directions.,7543.0
skin,mottled,,Mottled skin is for spacing hair.,2,Skin is for spacing hair.,9643.0
government,faulty,,Faulty government is responsible for disorder.,3,Government is responsible for disorder.,15855.0
emperor,reclusive,,A reclusive emperor rules an empire.,2,An emperor rules an empire.,11826.0
commuter,daily,,A daily commuter listens to an audiobook.,2,A commuter listens to an audiobook.,3297.0
musician,lifelong,,Lifelong musician tunes his guitar.,2,Musician tunes his guitar.,2487.0
mortar,new,,New mortar is used for affixing bricks to other bricks.,3,Mortar is used for affixing bricks to other bricks.,2346.0
smell,slight,,Slight smell is used for connect.,2,Smell is used for connect.,8567.0
lizards,tongued,,Tongued lizards exercises.,2,Lizards exercises.,3490.0
graveyard,second,,A second graveyard contains more bones than a vegetable garden.,2,A graveyard contains more bones than a vegetable garden.,7401.0
revenge,historic,,Historic revenge evens the score.,2,Revenge evens the score.,11607.0
babysitter,free,,A free babysitter minds a baby.,2,A babysitter minds a baby.,15616.0
leader,38th,,A 38th leader is for leading followers.,2,A leader is for leading followers.,1168.0
airplane,unmanned,,An unmanned airplane is for traversing the skies.,1,An airplane is for traversing the skies.,9803.0
sign,uncertain,,An uncertain sign is used for providing information.,3,A sign is used for providing information.,1314.0
train,former,,A former train arrives at a city.,0,A train arrives at a city.,12451.0
passageway,big,,A big passageway is used for traversing.,2,A passageway is used for traversing.,430.0
duplex,extended,,An extended duplex is used for housing two families.,2,A duplex is used for housing two families.,9200.0
company,ready-made,,A ready-made company wants money.,0,A company wants money.,5869.0
mankind,whole,,Whole mankind is generally creative.,2,Mankind is generally creative.,12181.0
pet,amino,,An amino pet is kept in a cage.,0,A pet is kept in a cage.,7729.0
cigarette,fake,,A fake cigarette is light or un-light.,0,A cigarette is light or un-light.,15955.0
bird,winged,,A winged bird is flying fast.,3,A bird is flying fast.,6943.0
pool,amazing,,An amazing pool contains water.,2,A pool contains water.,3616.0
tourniquet,surgical,,A surgical tourniquet is used for stopping blood flow.,3,A tourniquet is used for stopping blood flow.,8270.0
passageway,urinary,,You use an urinary passageway to get from one room to another.,0,You use a passageway to get from one room to another.,3758.0
society,academic,,An academic society is for protecting one's way of life.,1,A society is for protecting one's way of life.,8499.0
connection,separate,,A separate connection is used for bridging a gap.,2,A connection is used for bridging a gap.,13073.0
vinyl,colorful,,Colorful vinyl is for siding your house.,2,Vinyl is for siding your house.,7571.0
shadow,pearly,,You use a pearly shadow to tell directions.,2,You use a shadow to tell directions.,12597.0
store,variable,,The variable store stocks potatoes.,2,The store stocks potatoes.,15278.0
diva,true,,A true diva wants to sing.,2,A diva wants to sing.,13899.0
swamp,fresh,,You use a fresh swamp to catch mosquitos.,2,You use a swamp to catch mosquitos.,2029.0
shopping,ethnic,,Ethnic shopping is for preparing to cook a meal.,2,Shopping is for preparing to cook a meal.,14896.0
mortar,refractory,,A refractory mortar is used with a pestle.,1,A mortar is used with a pestle.,9713.0
verb,passive,,A passive verb is used for making a sentence go.,2,A verb is used for making a sentence go.,915.0
minister,onetime,,An onetime minister is for marrage.,1,A minister is for marrage.,13426.0
class,bantam,,A bantam class presents a play.,2,A class presents a play.,14600.0
anyone,wrong,,Wrong anyone calls on a friend.,2,Anyone calls on a friend.,6778.0
candle,human,,A human candle is lit with a match.,0,A candle is lit with a match.,3044.0
elevator,modular,,A modular elevator pries up bone fragments.,2,An elevator pries up bone fragments.,8642.0
grooming,general,,General grooming is for attracting females.,2,Grooming is for attracting females.,3221.0
saddle,western,,A western saddle is used for sitting comfortably on a horse.,2,A saddle is used for sitting comfortably on a horse.,4162.0
